Round,Greedy Points, Greedy Deadwood, Heuristic+ Points, Heuristic+ Deadwood
0,0,59,0,49
1,0,59,0,46
2,0,59,0,46
3,0,59,0,39
4,0,27,0,39
5,0,27,0,31
6,0,29,0,31
7,0,29,0,34
8,0,29,0,34
9,0,29,21,8
10,0,47,21,39
11,0,47,21,43
12,0,38,21,43
13,0,38,21,41
14,0,39,21,41
15,0,39,21,44
16,0,39,21,44
17,0,39,21,44
18,0,29,21,44
19,0,29,21,35
20,0,31,21,35
21,0,31,21,28
22,0,29,21,28
23,0,29,21,28
24,0,24,21,28
25,0,24,21,27
26,0,23,21,27
27,0,23,21,20
28,0,26,21,20
29,0,26,21,20
30,0,21,21,20
31,0,21,21,16
32,0,15,21,16
33,0,15,21,17
34,0,17,21,17
35,0,13,29,5
36,0,41,29,62
37,0,41,29,33
38,0,38,29,33
39,0,38,29,38
40,0,31,29,38
41,0,31,29,40
42,0,26,29,40
43,0,26,29,36
44,0,28,29,36
45,0,28,29,35
46,0,23,29,35
47,0,23,29,32
48,18,8,29,26
49,18,50,29,44
50,18,27,29,44
51,18,27,29,41
52,18,29,29,41
53,18,29,29,46
54,18,29,29,46
55,18,29,29,46
56,18,29,29,46
57,18,29,29,38
58,18,29,29,38
59,18,29,29,35
60,18,29,29,35
61,18,29,29,30
62,18,25,29,30
63,18,25,29,31
64,18,26,29,31
65,18,26,29,31
66,18,28,29,31
67,18,28,29,38
68,18,28,29,38
69,18,28,29,37
70,18,21,29,37
71,18,21,29,30
72,18,25,29,30
73,18,25,29,32
74,39,9,29,30
75,39,62,29,77
76,39,54,29,77
77,39,54,29,72
78,39,50,29,72
79,39,50,29,43
80,39,48,29,43
81,39,48,29,43
82,39,49,29,43
83,39,49,29,52
84,39,34,29,52
85,39,34,29,50
86,39,29,29,50
87,39,29,29,53
88,39,24,29,53
89,39,24,29,53
90,39,23,29,53
91,39,23,29,51
92,39,19,29,51
93,39,19,29,36
94,67,8,29,36
95,67,63,29,55
96,67,63,29,55
97,67,63,29,34
98,67,48,29,34
99,67,48,29,35
100,67,45,29,35
101,67,45,29,42
102,67,45,29,42
103,67,45,29,37
104,67,30,29,37
105,67,30,29,34
106,67,31,29,34
107,67,31,54,6
108,67,40,54,61
109,67,40,54,40
110,67,40,54,40
111,67,40,54,41
112,67,32,54,41
113,67,32,54,37
114,67,35,54,37
115,67,35,54,37
116,67,26,54,37
117,67,26,54,22
118,67,28,54,22
119,67,28,54,23
120,67,30,54,23
121,67,30,54,21
122,67,25,54,21
123,67,25,54,23
124,67,22,54,23
125,67,22,54,28
126,67,27,54,28
127,67,27,54,35
128,93,9,54,35
129,93,25,54,34
130,93,25,54,34
131,93,25,54,39
132,127,2,54,36
