Round, H(G|MC) Points, H(G|MC) Deadwood, Greedy Points, Greedy Deadwood
0,0,62,0,59
1,0,62,0,59
2,0,62,0,59
3,0,62,0,51
4,0,36,0,51
5,0,36,0,44
6,0,29,0,44
7,0,29,0,45
8,0,29,0,45
9,0,29,0,22
10,0,22,0,22
11,0,22,0,26
12,0,23,0,26
13,0,23,0,26
14,0,20,0,26
15,0,20,0,25
16,0,17,0,25
17,0,17,0,26
18,0,21,0,26
19,0,21,0,24
20,0,23,0,24
21,0,23,0,16
22,0,14,0,16
23,0,14,0,16
24,0,19,0,16
25,0,19,0,21
26,0,17,0,21
27,0,13,7,6
28,0,26,7,62
29,0,26,7,60
30,0,19,7,60
31,0,19,7,60
32,0,19,7,60
33,0,19,7,44
34,0,21,7,44
35,0,21,7,44
36,0,24,7,44
37,0,24,7,41
38,0,24,7,41
39,0,24,7,16
40,0,24,7,16
41,0,16,9,14
42,0,61,9,52
43,0,61,9,52
44,0,52,9,52
45,0,52,9,47
46,0,43,9,47
47,0,43,9,28
48,0,40,9,28
49,0,40,9,31
50,0,17,9,31
51,0,17,9,13
52,0,21,9,13
53,0,16,18,7
54,0,33,18,75
55,0,33,18,35
56,0,25,18,35
57,0,25,18,35
58,0,16,18,35
59,0,16,18,26
60,0,10,18,26
61,0,10,18,24
62,0,17,18,24
63,0,17,18,27
64,0,17,18,27
65,0,17,18,19
66,0,12,18,19
67,0,12,18,21
68,0,15,18,21
69,0,15,18,21
70,0,13,18,21
71,0,13,18,16
72,0,17,18,16
73,0,17,18,21
74,0,10,18,21
75,0,10,18,21
76,0,10,18,21
77,0,10,18,14
78,0,13,18,14
79,0,7,18,7
80,0,62,18,77
81,0,62,18,47
82,0,53,18,47
83,0,53,18,47
84,0,27,18,47
85,0,27,18,17
86,0,29,18,17
87,0,29,18,20
88,0,20,18,20
89,0,20,18,20
90,0,22,18,20
91,0,22,18,19
92,0,20,18,19
93,0,20,18,20
94,0,15,18,20
95,0,15,18,13
96,0,17,18,13
97,0,17,18,10
98,0,13,18,10
99,0,13,18,10
100,0,12,18,10
101,0,12,18,12
102,0,16,18,12
103,0,16,18,17
104,0,15,18,17
105,0,15,18,14
106,0,10,18,14
107,0,10,19,9
108,0,70,19,72
109,0,70,19,42
110,0,41,19,42
111,0,41,19,23
112,0,36,19,23
113,0,36,19,19
114,0,13,19,19
115,0,13,19,19
116,0,10,19,19
117,22,0,19,12
118,22,76,19,45
119,22,76,19,45
120,22,53,19,45
121,22,53,19,38
122,22,44,19,38
123,22,44,19,37
124,22,36,19,37
125,22,36,19,37
126,22,13,19,37
127,22,13,19,12
128,22,9,32,6
129,22,38,32,57
130,22,35,32,57
131,22,35,32,57
132,22,11,32,57
133,22,11,32,57
134,62,7,32,47
135,62,55,32,42
136,62,46,32,42
137,62,46,32,33
138,62,46,32,33
139,62,46,32,34
140,62,46,32,34
141,62,46,32,27
142,62,41,32,27
143,62,41,32,26
144,62,37,32,26
145,62,37,32,24
146,62,35,32,24
147,62,35,32,21
148,62,37,32,21
149,62,37,32,26
150,62,17,32,26
151,62,17,32,23
152,62,18,32,23
153,62,18,32,22
154,62,19,32,22
155,62,19,32,16
156,62,20,32,16
157,62,20,32,14
158,62,14,32,14
159,62,5,32,5
160,62,69,32,64
161,62,69,32,55
162,62,54,32,55
163,62,54,32,39
164,62,52,32,39
165,62,52,32,31
166,62,24,32,31
167,62,24,32,33
168,76,1,32,15
169,76,52,32,14
170,76,50,32,14
171,76,50,32,15
172,76,50,32,15
173,76,41,70,3
174,76,36,70,60
175,76,36,70,60
176,76,36,70,60
177,76,36,70,60
178,76,35,70,60
179,76,35,70,30
180,76,37,70,30
181,76,37,70,27
182,76,36,70,27
183,76,36,70,23
184,76,39,70,23
185,76,39,70,21
186,76,35,70,21
187,76,35,70,22
188,76,30,70,22
189,76,30,70,19
190,76,37,70,19
191,76,32,88,14
192,76,27,88,58
193,76,27,88,58
194,132,2,88,58
